Experimental Analysis(Array)	All measurements in nanoseconds

Initializing	Time(ns)
A:	2553792
B:	7137
C:	10860
D:	9310
E:	21410
F:	8068
G:	24825
H:	27617
I:	108296

Output method	Time(ns)
Output for A:	583059
Nodes for A:	35685
Digits of A:	74473
Sign of A:	28858

Output for B:	19859
Nodes for B:	32581
Digits of B:	21411
Sign of B:	17377

Output for C:	49028
Nodes for C:	35685
Digits of C:	20480
Sign of C:	13964

Output for D:	35374
Nodes for D:	58337
Digits of D:	20480
Sign of D:	17687

Output for E:	124121
Nodes for E:	64233
Digits of E:	20791
Sign of E:	13653

Output for F:	35374
Nodes for F:	27617
Digits of F:	14894
Sign of F:	15825

Output for G:	130638
Nodes for G:	140877
Digits of G:	38478
Sign of G:	17067

Output for H:	128776
Nodes for H:	91229
Digits of H:	18928
Sign of H:	13033

Output for I:	212247
Nodes for I:	368640
Digits of I:	30720
Sign of I:	13964

LongIntUtils for 2222	Time(ns)
Overflow of 2222:	17067
Underflow of 2222:	35064
Upper half of 2222:	21411
Lower half of 2222:	18307
Digits of 2222:	13343

LongIntUtils for 99999999	Time(ns)
Overflow of 99999999:	10550
Underflow of 99999999:	12722
Upper half of 99999999:	13653
Lower half of 99999999:	11481
Digits of 99999999:	10550

equalTo	Time(ns)	lessThan	Time(ns)	greaterThan	Time(ns)
A=A:	20791	A<A:	14584	A>A:	18308
A=B:	17066	A<B:	23893	A>B:	28238
A=C:	8998	A<C:	12102	A>C:	13032
A=D:	11481	A<D:	12101	A>D:	18928
A=E:	14584	A<E:	31340	A>E:	21101
A=F:	13963	A<F:	14894	A>F:	16757
A=G:	14584	A<G:	29479	A>G:	95263
A=H:	11481	A<H:	8688	A>H:	12723
A=I:	78816	A<I:	32582	A>I:	89988

B=A:	592367	B<A:	16446	B>A:	47786
B=B:	9309	B<B:	81609	B>B:	27617
B=C:	9619	B<C:	145221	B>C:	19549
B=D:	45615	B<D:	23893	B>D:	37236
B=E:	15825	B<E:	19859	B>E:	42511
B=F:	8689	B<F:	20791	B>F:	13964
B=G:	12102	B<G:	13654	B>G:	23272
B=H:	7447	B<H:	7758	B>H:	11481
B=I:	28858	B<I:	23893	B>I:	33512

C=A:	961628	C<A:	37857	C>A:	36926
C=B:	67336	C<B:	181217	C>B:	182768
C=C:	21722	C<C:	67336	C>C:	40959
C=D:	18618	C<D:	9619	C>D:	12722
C=E:	7757	C<E:	6826	C>E:	10550
C=F:	9619	C<F:	8998	C>F:	13653
C=G:	8068	C<G:	7447	C>G:	10240
C=H:	10860	C<H:	17377	C>H:	17067
C=I:	14584	C<I:	35685	C>I:	13964

D=A:	9930	D<A:	9620	D>A:	12102
D=B:	8378	D<B:	34753	D>B:	131879
D=C:	45304	D<C:	39718	D>C:	25444
D=D:	96504	D<D:	34754	D>D:	139946
D=E:	17687	D<E:	26686	D>E:	68577
D=F:	26376	D<F:	22032	D>F:	35995
D=G:	11481	D<G:	12102	D>G:	18308
D=H:	6516	D<H:	18618	D>H:	12722
D=I:	14274	D<I:	18618	D>I:	38478

E=A:	9309	E<A:	10861	E>A:	13033
E=B:	9309	E<B:	13343	E>B:	13344
E=C:	6516	E<C:	5896	E>C:	10550
E=D:	8068	E<D:	14274	E>D:	31961
E=E:	9929	E<E:	9619	E>E:	31961
E=F:	16136	E<F:	6206	E>F:	89988
E=G:	16756	E<G:	18929	E>G:	21411
E=H:	7137	E<H:	5895	E>H:	9930
E=I:	13033	E<I:	32271	E>I:	56475

F=A:	7137	F<A:	9309	F>A:	9930
F=B:	6516	F<B:	5896	F>B:	9309
F=C:	7757	F<C:	17066	F>C:	12413
F=D:	5895	F<D:	12102	F>D:	22341
F=E:	10550	F<E:	7448	F>E:	10861
F=F:	9930	F<F:	8378	F>F:	52130
F=G:	6516	F<G:	5275	F>G:	9619
F=H:	8688	F<H:	11792	F>H:	17067
F=I:	4965	F<I:	4965	F>I:	9309

G=A:	7758	G<A:	13343	G>A:	12722
G=B:	22342	G<B:	11481	G>B:	12412
G=C:	4654	G<C:	16136	G>C:	20790
